Castanhal;n_da_castanheira;CAP;n_frutos_ouricos_produzidos;n_frutos_ouricos_acessados_pela_fauna;UC;Ano
Davi;360;3.2;65;;Cazumba;2019
Davi;354;4.63;173;;Cazumba;2019
Davi;339;4.6;13;;Cazumba;2019
Davi;290;6.22;453;25;Cazumba;2019
Davi;297;5.23;35;2;Cazumba;2019
Davi;327;6.35;259;;Cazumba;2019
Davi;325;3.67;105;2;Cazumba;2019
Davi;322;2.39;45;;Cazumba;2019
Davi;320;5.59;114;;Cazumba;2019
Davi;475;;;;Cazumba;2019
Davi;476;;;;Cazumba;2019
Davi;300;4.2;301;5;Cazumba;2019
Dimar;590;;320;5;Cazumba;2019
Dimar;595;;776;9;Cazumba;2019
Dimar;598;;250;19;Cazumba;2019
Irmaos Gamas;568;;110;27;Cazumba;2019
Irmaos Gamas;569;;807;18;Cazumba;2019
Irmaos Gamas;571;;92;11;Cazumba;2019
Irmaos Gamas;573;;178;11;Cazumba;2019
Irmaos Gamas;575;;212;38;Cazumba;2019
Irmaos Gamas;581;;304;3;Cazumba;2019
Irmaos Gamas;582;;75;2;Cazumba;2019
Irmaos Gamas;587;;418;0;Cazumba;2019
Mariazinha;230;3.57;49;0;Cazumba;2019
Mariazinha;227;3.35;178;6;Cazumba;2019
Mariazinha;217;2.62;72;11;Cazumba;2019
Mariazinha;222;4.64;72;3;Cazumba;2019
Mariazinha;245;4.66;363;14;Cazumba;2019
Mariazinha;233;4.21;179;11;Cazumba;2019
Mariazinha;241;2.16;142;4;Cazumba;2019
Mariazinha;253;2.58;155;12;Cazumba;2019
Mariazinha;273;6.66;290;0;Cazumba;2019
Mariazinha;280;4.91;116;5;Cazumba;2019
Mariazinha;265;2.01;142;4;Cazumba;2019
Mariazinha;256;4.11;197;7;Cazumba;2019
Mariazinha;251;5.59;222;11;Cazumba;2019
Mariazinha;246;5.37;208;16;Cazumba;2019
Marizan;600;;310;4;Cazumba;2019
Marizan;601;;724;0;Cazumba;2019
Marizan;603;;265;6;Cazumba;2019
Marizan;606;;131;2;Cazumba;2019
Marizan;609;;38;10;Cazumba;2019
Zequinha;616;;85;5;Cazumba;2019
Zequinha;621;;10;2;Cazumba;2019
Zequinha;626;;452;0;Cazumba;2019
Zequinha;627;;380;0;Cazumba;2019
Zequinha;641;;31;0;Cazumba;2019
Zequinha;673;;0;0;Cazumba;2019
Zequinha;683;;50;100;Cazumba;2019
Zequinha;687;;30;0;Cazumba;2019
Zequinha;691;;190;0;Cazumba;2019
Zequinha;714;;305;1;Cazumba;2019
Zequinha;717;;430;0;Cazumba;2019
Zequinha;723;;225;0;Cazumba;2019
Zequinha;727;;129;1;Cazumba;2019
Zequinha;729;;498;0;Cazumba;2019
Zequinha;731;;198;0;Cazumba;2019
Zequinha;733;;195;2;Cazumba;2019
Zequinha;735;;298;1;Cazumba;2019
Zequinha;738;;240;1;Cazumba;2019
Zequinha;740;;325;1;Cazumba;2019
Zequinha;741;;338;2;Cazumba;2019
Zequinha;748;;130;0;Cazumba;2019
Zequinha;751;;170;1;Cazumba;2019
Zequinha;753;;315;1;Cazumba;2019
Zequinha;763;;289;0;Cazumba;2019
Zequinha;764;;288;0;Cazumba;2019
Zirmao;415;274;150;6;Cazumba;2019
Zirmao;423;663;380;16;Cazumba;2019
Zirmao;432;447;605;25;Cazumba;2019
Zirmao;436;533;170;13;Cazumba;2019
Zirmao;438;186;0;0;Cazumba;2019
Zirmao;437;223;268;10;Cazumba;2019
Zirmao;447;290;418;17;Cazumba;2019
Zirmao;450;473;457;17;Cazumba;2019
Zirmao;453;419;506;22;Cazumba;2019
Zirmao;460;253;103;3;Cazumba;2019
Zirmao;461;346;163;0;Cazumba;2019
Zirmao;467;393;180;10;Cazumba;2019
Zirmao;475;393;93;11;Cazumba;2019
Zirmao;476;502;213;16;Cazumba;2019
Zirmao;478;391;298;14;Cazumba;2019
Zirmao;481;477;320;15;Cazumba;2019
Zirmao;497;172;51;3;Cazumba;2019
Zirmao;405;2;54;2;Cazumba;2019
Zirmao 2;767;;;;Cazumba;2019
Zirmao 2;771;;80;6;Cazumba;2019
Zirmao 2;778;;;;Cazumba;2019
Zirmao 2;782;;317;9;Cazumba;2019
Zirmao 2;783;;316;2;Cazumba;2019
Zirmao 2;787;;20;26;Cazumba;2019
Zirmao 2;795;;213;21;Cazumba;2019
Zirmao 2;797;;168;31;Cazumba;2019
Zirmao 2;798;;417;3;Cazumba;2019
Zirmao 2;799;;398;4;Cazumba;2019
Zirmao 2;807;;155;7;Cazumba;2019
Zirmao 2;817;;180;13;Cazumba;2019
Zirmao 2;827;;80;3;Cazumba;2019
Zirmao 2;828;;273;8;Cazumba;2019
