"","Castanhal","n_da_castanheira","CAP","n_frutos_ouricos_produzidos","n_frutos_ouricos_acessados_pela_fauna","UC","Ano"
"533","Zirmão 2",872,NA,175,2,"Cazumba",2021
"534","Zirmão 2",876,NA,375,5,"Cazumba",2021
"535","Zirmão 2",882,NA,317,0,"Cazumba",2021
"536","Irmãos Gamas",568,NA,240,10,"Cazumba",2021
"537","Irmãos Gamas",569,NA,554,4,"Cazumba",2021
"538","Irmãos Gamas",571,NA,68,11,"Cazumba",2021
"539","Irmãos Gamas",573,NA,372,11,"Cazumba",2021
"540","Irmãos Gamas",575,NA,226,15,"Cazumba",2021
"541","Irmãos Gamas",581,NA,254,6,"Cazumba",2021
"542","Irmãos Gamas",582,NA,81,7,"Cazumba",2021
"543","Irmãos Gamas",587,NA,304,13,"Cazumba",2021
"544","Dimar",590,NA,212,5,"Cazumba",2021
"545","Dimar",595,NA,624,2,"Cazumba",2021
"546","Dimar",598,NA,356,6,"Cazumba",2021
"547","Marizan",600,NA,113,8,"Cazumba",2021
"548","Marizan",601,NA,415,20,"Cazumba",2021
"549","Marizan",603,NA,122,10,"Cazumba",2021
"550","Marizan",606,NA,180,10,"Cazumba",2021
"551","Marizan",609,NA,75,5,"Cazumba",2021
"552","Dimar",NA,NA,NA,NA,"Cazumba",2018
"553","Irmãos Gamas",NA,NA,NA,NA,"Cazumba",2018
"554","Marizan",NA,NA,NA,NA,"Cazumba",2018
"555","Zequinha",NA,NA,NA,NA,"Cazumba",2018
"556","Zirmão 2",NA,NA,NA,NA,"Cazumba",2018
