"","id","Castanhal.x","tamanho.x","Ano.x","total_frutos","Castanhal.y","tamanho.y","Ano.y","total_sementes","media_sementes","peso_total","peso_semente","producaoTotal"
"47","Irmãos Gamas adulto 2020","Irmãos Gamas","adulto",2020,1469,"Irmãos Gamas","adulto",2020,390,19.5,2.4,0.00615384615384615,176.28
"48","Irmãos Gamas adulto 2021","Irmãos Gamas","adulto",2021,1456,NA,NA,NA,NA,NA,NA,NA,NA
"49","Irmãos Gamas jovem-adulto 2019","Irmãos Gamas","jovem-adulto",2019,277,"Irmãos Gamas","jovem-adulto",2019,351,17.55,2.75,0.00783475783475784,38.0875
"50","Irmãos Gamas jovem-adulto 2020","Irmãos Gamas","jovem-adulto",2020,177,"Irmãos Gamas","jovem-adulto",2020,362,18.1,2.4,0.00662983425414365,21.24
"51","Irmãos Gamas jovem-adulto 2021","Irmãos Gamas","jovem-adulto",2021,389,"Irmãos Gamas","jovem-adulto",2021,0,NA,0,NA,NA
"52","Irmãos Gamas NA 2018","Irmãos Gamas",NA,2018,0,NA,NA,NA,NA,NA,NA,NA,NA
"53","Mariazinha adulto-senescente 2018","Mariazinha","adulto-senescente",2018,694,"Mariazinha","adulto-senescente",2018,186,18.6,1.904,0.0102365591397849,132.1376
"54","Mariazinha adulto-senescente 2019","Mariazinha","adulto-senescente",2019,546,"Mariazinha","adulto-senescente",2019,160,16,1.97,0.0123125,107.562
"55","Mariazinha adulto-senescente 2020","Mariazinha","adulto-senescente",2020,902,"Mariazinha","adulto-senescente",2020,190,19,1.735,0.00913157894736842,156.497
"56","Mariazinha adulto-senescente 2021","Mariazinha","adulto-senescente",2021,1137,NA,NA,NA,NA,NA,NA,NA,NA
"57","Mariazinha adulto 2018","Mariazinha","adulto",2018,2194,"Mariazinha","adulto",2018,516,17.2,5.014,0.00971705426356589,366.690533333333
"58","Mariazinha adulto 2019","Mariazinha","adulto",2019,1038,"Mariazinha","adulto",2019,492,16.4,5.385,0.0109451219512195,186.321
"59","Mariazinha adulto 2020","Mariazinha","adulto",2020,1759,"Mariazinha","adulto",2020,505,16.8333333333333,4.86,0.00962376237623762,284.958
"60","Mariazinha adulto 2021","Mariazinha","adulto",2021,793,"Mariazinha","adulto",2021,0,NA,0,NA,NA
"61","Mariazinha jovem-adulto 2018","Mariazinha","jovem-adulto",2018,517,"Mariazinha","jovem-adulto",2018,219,21.9,1.976,0.00902283105022831,102.1592
"62","Mariazinha jovem-adulto 2019","Mariazinha","jovem-adulto",2019,511,"Mariazinha","jovem-adulto",2019,227,22.7,2.13,0.00938325991189427,108.843
"63","Mariazinha jovem-adulto 2020","Mariazinha","jovem-adulto",2020,434,"Mariazinha","jovem-adulto",2020,219,21.9,1.81,0.0082648401826484,78.554
"64","Mariazinha jovem-adulto 2021","Mariazinha","jovem-adulto",2021,637,NA,NA,NA,NA,NA,NA,NA,NA
"65","Mariazinha senescente 2018","Mariazinha","senescente",2018,99,NA,NA,NA,NA,NA,NA,NA,NA
"66","Mariazinha senescente 2019","Mariazinha","senescente",2019,290,NA,NA,NA,NA,NA,NA,NA,NA
"67","Mariazinha senescente 2020","Mariazinha","senescente",2020,99,NA,NA,NA,NA,NA,NA,NA,NA
"68","Mariazinha senescente 2021","Mariazinha","senescente",2021,41,NA,NA,NA,NA,NA,NA,NA,NA
"69","Marizan adulto 2019","Marizan","adulto",2019,434,"Marizan","adulto",2019,616,20.5333333333333,5.425,0.00880681818181818,78.4816666666667
"70","Marizan adulto 2020","Marizan","adulto",2020,451,"Marizan","adulto",2020,594,19.8,5,0.00841750841750842,75.1666666666667
"71","Marizan adulto 2021","Marizan","adulto",2021,377,NA,NA,NA,NA,NA,NA,NA,NA
"72","Marizan jovem-adulto 2019","Marizan","jovem-adulto",2019,310,"Marizan","jovem-adulto",2019,253,25.3,1.75,0.00691699604743083,54.25
"73","Marizan jovem-adulto 2020","Marizan","jovem-adulto",2020,223,"Marizan","jovem-adulto",2020,271,27.1,2,0.00738007380073801,44.6
"74","Marizan jovem-adulto 2021","Marizan","jovem-adulto",2021,113,"Marizan","jovem-adulto",2021,0,NA,0,NA,NA
"75","Marizan NA 2018","Marizan",NA,2018,0,NA,NA,NA,NA,NA,NA,NA,NA
"76","Marizan senescente 2019","Marizan","senescente",2019,724,"Marizan","senescente",2019,195,19.5,1.7,0.00871794871794872,123.08
"77","Marizan senescente 2020","Marizan","senescente",2020,345,"Marizan","senescente",2020,207,20.7,1.7,0.00821256038647343,58.65
"78","Marizan senescente 2021","Marizan","senescente",2021,415,NA,NA,NA,NA,NA,NA,NA,NA
"79","Zequinha adulto-senescente 2019","Zequinha","adulto-senescente",2019,1134,"Zequinha","adulto-senescente",2019,175,17.5,1.75,0.01,198.45
"80","Zequinha adulto-senescente 2020","Zequinha","adulto-senescente",2020,2229,"Zequinha","adulto-senescente",2020,163,16.3,1.8,0.0110429447852761,401.22
"81","Zequinha adulto-senescente 2021","Zequinha","adulto-senescente",2021,636,NA,NA,NA,NA,NA,NA,NA,NA
"82","Zequinha adulto 2019","Zequinha","adulto",2019,2214,"Zequinha","adulto",2019,336,16.8,3.503,0.0104255952380952,387.7821
"83","Zequinha adulto 2020","Zequinha","adulto",2020,3318,"Zequinha","adulto",2020,382,20.1052631578947,3.9,0.0102094240837696,681.063157894737
"84","Zequinha adulto 2021","Zequinha","adulto",2021,1708,NA,NA,NA,NA,NA,NA,NA,NA
"85","Zequinha jovem-adulto 2019","Zequinha","jovem-adulto",2019,1873,"Zequinha","jovem-adulto",2019,191,9.55,1.75,0.00916230366492147,163.8875
"86","Zequinha jovem-adulto 2020","Zequinha","jovem-adulto",2020,1243,"Zequinha","jovem-adulto",2020,165,16.5,1.8,0.0109090909090909,223.74
"87","Zequinha jovem-adulto 2021","Zequinha","jovem-adulto",2021,2664,"Zequinha","jovem-adulto",2021,0,NA,0,NA,NA
"88","Zequinha NA 2018","Zequinha",NA,2018,0,NA,NA,NA,NA,NA,NA,NA,NA
"89","Zequinha senescente 2019","Zequinha","senescente",2019,380,NA,NA,NA,NA,NA,NA,NA,NA
"90","Zequinha senescente 2020","Zequinha","senescente",2020,804,NA,NA,NA,NA,NA,NA,NA,NA
"91","Zequinha senescente 2021","Zequinha","senescente",2021,70,NA,NA,NA,NA,NA,NA,NA,NA
"92","Zirmão 2 adulto-senescente 2019","Zirmão 2","adulto-senescente",2019,442,"Zirmão 2","adulto-senescente",2019,182,18.2,2.135,0.0117307692307692,94.367
"93","Zirmão 2 adulto-senescente 2020","Zirmão 2","adulto-senescente",2020,351,"Zirmão 2","adulto-senescente",2020,180,18,1.65,0.00916666666666667,57.915
"94","Zirmão 2 adulto-senescente 2021","Zirmão 2","adulto-senescente",2021,470,NA,NA,NA,NA,NA,NA,NA,NA
"95","Zirmão 2 adulto 2019","Zirmão 2","adulto",2019,2620,"Zirmão 2","adulto",2019,532,17.7333333333333,4.575,0.00859962406015038,399.55
"96","Zirmão 2 adulto 2020","Zirmão 2","adulto",2020,3041,"Zirmão 2","adulto",2020,564,18.8,4.495,0.00796985815602837,455.643166666667
"97","Zirmão 2 adulto 2021","Zirmão 2","adulto",2021,3030,"Zirmão 2","adulto",2021,0,NA,0,NA,NA
"98","Zirmão 2 jovem-adulto 2019","Zirmão 2","jovem-adulto",2019,636,"Zirmão 2","jovem-adulto",2019,210,21,1.655,0.00788095238095238,105.258
"99","Zirmão 2 jovem-adulto 2020","Zirmão 2","jovem-adulto",2020,347,"Zirmão 2","jovem-adulto",2020,197,19.7,1.405,0.00713197969543147,48.7535
"100","Zirmão 2 jovem-adulto 2021","Zirmão 2","jovem-adulto",2021,654,NA,NA,NA,NA,NA,NA,NA,NA
"101","Zirmão 2 NA 2018","Zirmão 2",NA,2018,0,NA,NA,NA,NA,NA,NA,NA,NA
"102","Zirmão 2 senescente 2019","Zirmão 2","senescente",2019,168,NA,NA,NA,NA,NA,NA,NA,NA
"103","Zirmão 2 senescente 2020","Zirmão 2","senescente",2020,152,NA,NA,NA,NA,NA,NA,NA,NA
"104","Zirmão 2 senescente 2021","Zirmão 2","senescente",2021,203,NA,NA,NA,NA,NA,NA,NA,NA
"105","Zirmão adulto-senescente 2018","Zirmão","adulto-senescente",2018,1009,NA,NA,NA,NA,NA,NA,NA,NA
"106","Zirmão adulto-senescente 2019","Zirmão","adulto-senescente",2019,840,NA,NA,NA,NA,NA,NA,NA,NA
"107","Zirmão adulto-senescente 2020","Zirmão","adulto-senescente",2020,846,NA,NA,NA,NA,NA,NA,NA,NA
"108","Zirmão adulto-senescente 2021","Zirmão","adulto-senescente",2021,820,NA,NA,NA,NA,NA,NA,NA,NA
"109","Zirmão adulto 2018","Zirmão","adulto",2018,2913,"Zirmão","adulto",2018,429,21.45,3.124,0.00728205128205128,455.0106
"110","Zirmão adulto 2019","Zirmão","adulto",2019,2165,"Zirmão","adulto",2019,419,20.95,3.82,0.00911694510739857,413.515
"111","Zirmão adulto 2020","Zirmão","adulto",2020,2558,"Zirmão","adulto",2020,444,22.2,3.795,0.0085472972972973,485.3805
"112","Zirmão adulto 2021","Zirmão","adulto",2021,1923,"Zirmão","adulto",2021,0,NA,0,NA,NA
"113","Zirmão jovem-adulto 2018","Zirmão","jovem-adulto",2018,1031,"Zirmão","jovem-adulto",2018,395,19.75,3.378,0.00855189873417722,174.1359
"114","Zirmão jovem-adulto 2019","Zirmão","jovem-adulto",2019,1044,"Zirmão","jovem-adulto",2019,391,19.55,3.54,0.0090537084398977,184.788
"115","Zirmão jovem-adulto 2020","Zirmão","jovem-adulto",2020,863,"Zirmão","jovem-adulto",2020,446,22.3,3.97,0.00890134529147982,171.3055
"116","Zirmão jovem-adulto 2021","Zirmão","jovem-adulto",2021,1051,NA,NA,NA,NA,NA,NA,NA,NA
"117","Zirmão senescente 2018","Zirmão","senescente",2018,199,"Zirmão","senescente",2018,174,17.4,1.446,0.00831034482758621,28.7754
"118","Zirmão senescente 2019","Zirmão","senescente",2019,380,"Zirmão","senescente",2019,185,18.5,1.6,0.00864864864864865,60.8
"119","Zirmão senescente 2020","Zirmão","senescente",2020,256,"Zirmão","senescente",2020,164,16.4,1.335,0.00814024390243902,34.176
"120","Zirmão senescente 2021","Zirmão","senescente",2021,167,NA,NA,NA,NA,NA,NA,NA,NA
